ID,AssistsTotal,BlocksTotal,DefensiveReboundsTotal,DoubleDoubles,Efficiency,FieldGoals2PointsAttemptedTotal,FieldGoals2PointsMadeTotal,FieldGoals3PointsAttemptedTotal,FieldGoals3PointsMadeTotal,FreeThrowsAttemptedTotal,FreeThrowsMadeTotal,GamesPlayedTotal,LastName,MinutesTotal,OffensiveReboundsTotal,OfficialName,PersonalFoulsTotal,PlayerId,PlayerLink,PlusMinus,PointsTotal,Position,SecondsTotal,ShirtNumber,StealsTotal,TripleDoubles,TurnOversTotal,Country,FullName
0,45,3,48,1,130.0,30,20,38,10,16,14,8,Ingles,271,1,Joe Ingles (AUS),18,152139,/basketballworldcup/2019/player/Joe-Ingles,39,84,Small Forward,16261,N/A,13,0,24,AUS,Joe Ingles
1,50,0,25,0,91.0,30,9,39,14,15,11,8,Dellavedova,244,10,Matthew Dellavedova (AUS),17,173478,/basketballworldcup/2019/player/Matthew-Dellavedova,48,71,Guard,14670,N/A,5,0,20,AUS,Matthew Dellavedova
2,31,2,11,0,144.0,66,38,57,23,43,37,8,Mills,271,7,Patty Mills (AUS),13,156215,/basketballworldcup/2019/player/Patty-Mills,57,182,Guard,16272,N/A,7,0,28,AUS,Patty Mills
3,14,4,32,1,119.0,41,24,21,11,11,10,8,Baynes,170,12,Aron Baynes (AUS),18,151328,/basketballworldcup/2019/player/Aron-Baynes,35,91,Forward,10210,N/A,3,0,9,AUS,Aron Baynes
4,19,6,36,0,106.0,47,31,2,0,6,2,8,Bogut,143,12,Andrew Bogut (AUS),24,143395,/basketballworldcup/2019/player/Andrew-Bogut,10,64,Center,8582,N/A,4,0,13,AUS,Andrew Bogut
5,6,2,23,0,52.0,24,13,15,7,6,3,8,Landale,147,4,Jock  Landale (AUS),14,203105,/basketballworldcup/2019/player/Jock-Landale,6,50,Center,8867,N/A,2,0,13,AUS,Jock  Landale
6,5,0,9,0,36.0,12,6,37,12,11,10,8,Goulding,142,0,Chris Goulding (AUS),20,159593,/basketballworldcup/2019/player/Chris-Goulding,0,58,Shooting Guard,8541,N/A,3,0,7,AUS,Chris Goulding
7,4,1,13,0,34.0,13,7,2,0,14,8,8,Creek,91,8,Mitch Creek (AUS),13,188250,/basketballworldcup/2019/player/Mitch-Creek,-4,22,Small Forward,5498,N/A,2,0,2,AUS,Mitch Creek
8,8,0,19,1,84.0,42,25,6,1,10,10,8,Kay,161,21,Nic Kay (AUS),6,209340,/basketballworldcup/2019/player/Nic-Kay,19,63,Power Forward,9718,N/A,0,0,5,AUS,Nic Kay
9,9,0,5,0,25.0,9,6,13,5,0,0,5,Abdeen,75,1,Mahmoud Abdeen (JOR),10,182457,/basketballworldcup/2019/player/Mahmoud-Abdeen,-58,27,Point Guard,4530,N/A,3,0,9,JOR,Mahmoud Abdeen
10,0,1,1,0,11.0,6,4,3,1,2,2,4,Abu Hawwas,22,1,Amin Abu Hawwas (JOR),2,224338,/basketballworldcup/2019/player/Amin-Abu-Hawwas,-28,13,Shooting Guard,1376,N/A,1,0,2,JOR,Amin Abu Hawwas
